City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ulladulla,-35.35,150.4667,55.76,88,54,5.23,AU,1682868690
1,port-aux-francais,-49.35,70.2167,46.71,94,100,30.76,TF,1682868691
2,val-d'or,48.1002,-77.7828,46.49,93,100,14.97,CA,1682868693
3,paracuru,-3.41,-39.0306,85.1,73,61,10.67,BR,1682868694
4,gamba,-2.65,10.0,80.58,77,95,2.19,GA,1682868695
5,blackmans bay,-43.0167,147.3167,49.53,89,9,4.45,AU,1682868696
6,dwarka,22.2394,68.9678,80.98,67,0,12.57,IN,1682868698
7,moroni,-11.7022,43.2551,79.63,80,9,12.53,KM,1682868699
8,alpena,45.0617,-83.4327,46.72,89,100,4.61,US,1682868700
9,medzilaborce,49.2719,21.9007,54.14,85,83,8.14,SK,1682868701
10,iskateley,67.6803,53.1512,27.63,91,83,8.12,RU,1682868702
11,mingshui,36.7167,117.5,59.18,32,0,11.03,CN,1682868703
12,talnakh,69.4865,88.3972,22.21,86,9,12.5,RU,1682868704
13,port mathurin,-19.6833,63.4167,79.02,78,0,13.29,MU,1682868706
14,saipan,15.1355,145.701,81.3,89,100,10.36,MP,1682868707
15,trenggalek,-8.05,111.7167,76.23,94,49,2.82,ID,1682868708
16,mansa,29.9833,75.3833,73.04,61,94,7.7,IN,1682868709
17,bazarak,35.3129,69.5152,57.04,49,4,5.99,AF,1682868710
18,albany,42.6001,-73.9662,56.79,82,100,1.01,US,1682868516
19,moju,-1.8839,-48.7689,87.33,65,47,3.56,BR,1682868611
20,mossel bay,-34.1831,22.146,66.13,78,9,8.59,ZA,1682868715
21,kodiak,57.79,-152.4072,38.71,87,100,5.75,US,1682868716
22,montevallo,33.1007,-86.8642,68.34,75,0,8.05,US,1682868717
23,bredasdorp,-34.5322,20.0403,59.81,77,3,7.36,ZA,1682868718
24,bethel,41.3712,-73.414,55.76,89,100,9.22,US,1682868522
25,port lincoln,-34.7333,135.8667,59.0,84,100,5.55,AU,1682868720
26,grytviken,-54.2811,-36.5092,40.17,97,98,17.83,GS,1682868722
27,petropavlovsk-kamchatsky,53.0452,158.6483,28.99,74,75,2.24,RU,1682868723
28,edinburgh of the seven seas,-37.0676,-12.3116,57.42,67,31,10.45,SH,1682868724
29,banapur,19.7833,85.1833,80.71,65,99,3.71,IN,1682868725
30,moanda,-1.5575,13.2178,88.03,67,98,1.3,GA,1682868726
31,champerico,14.3,-91.9167,86.54,57,89,5.28,GT,1682868727
32,bilibino,68.0546,166.4372,6.91,98,99,3.53,RU,1682868729
33,kerikeri,-35.2268,173.9474,67.91,97,82,1.99,NZ,1682868730
34,long beach,33.767,-118.1892,60.93,94,100,1.01,US,1682868648
35,mobaye,4.319,21.1786,74.39,81,98,2.62,CF,1682868732
36,novyy urgal,51.0736,132.5642,33.58,68,90,2.59,RU,1682868733
37,waitangi,-43.9535,-176.5597,57.81,75,100,10.09,NZ,1682868734
38,tura,25.5198,90.2201,68.0,88,100,4.12,IN,1682868735
39,aginskoye,51.1,114.53,48.2,41,98,6.73,RU,1682868737
40,port alfred,-33.5906,26.891,63.18,85,96,3.0,ZA,1682868738
41,buritizeiro,-17.3511,-44.9622,89.04,41,9,2.68,BR,1682868530
42,brookings,44.3114,-96.7984,45.1,59,40,33.38,US,1682868740
43,usinsk,65.9939,57.5281,31.77,84,94,0.67,RU,1682868741
44,coreau,-3.5333,-40.6567,83.39,76,99,3.6,BR,1682868742
45,susuman,62.7833,148.1667,10.15,96,60,1.57,RU,1682868744
46,villa ocampo,-28.4875,-59.3551,90.05,44,92,15.86,AR,1682868745
47,akureyri,65.6835,-18.0878,37.33,52,20,21.85,IS,1682868497
48,stanley,54.868,-1.6985,54.5,91,100,9.46,GB,1682868747
49,yulinshi,38.2906,109.7494,58.28,31,37,11.54,CN,1682868748
50,klyuchi,52.2667,79.1667,40.59,35,53,8.84,RU,1682868750
51,vadso,70.0744,29.7487,45.48,61,75,6.91,NO,1682868751
52,adamstown,-25.066,-130.1015,76.62,80,58,12.39,PN,1682868752
53,georgetown,5.4112,100.3354,78.75,90,40,3.44,MY,1682868597
54,uturoa,-16.7333,-151.4333,82.06,79,26,15.08,PF,1682868754
55,hawaiian paradise park,19.5933,-154.9731,68.04,97,100,8.05,US,1682868532
56,rio grande,-32.035,-52.0986,82.51,56,1,9.46,BR,1682868757
57,iqaluit,63.7506,-68.5145,31.73,80,100,13.8,CA,1682868758
58,khandyga,62.6667,135.6,24.89,99,99,1.79,RU,1682868759
59,thompson,55.7435,-97.8558,39.36,70,75,8.05,CA,1682868760
60,mahina,-17.5065,-149.489,76.77,83,20,0.0,PF,1682868763
61,moratalla,38.1893,-1.8918,77.38,34,100,16.31,ES,1682868764
62,guane,22.2025,-84.0875,76.5,83,92,10.09,CU,1682868766
63,ushuaia,-54.8,-68.3,37.06,52,0,3.44,AR,1682868723
64,weyburn,49.6668,-103.8511,44.82,53,18,3.44,CA,1682868768
65,west island,-12.1568,96.8225,80.58,94,75,6.91,CC,1682868769
66,spring creek,40.7266,-115.5859,60.3,27,66,1.25,US,1682868770
67,taroa,8.7058,171.2275,81.1,82,61,20.85,MH,1682868772
68,crystal city,28.6775,-99.8281,73.51,25,0,3.44,US,1682868773
69,puerto ayora,-0.7393,-90.3518,82.36,92,51,5.99,EC,1682868774
70,ribeira grande,38.5167,-28.7,64.8,68,20,20.71,PT,1682868775
71,invercargill,-46.4,168.35,46.89,93,98,3.27,NZ,1682868672
72,borger,52.9233,6.7931,63.03,52,42,5.88,NL,1682868777
73,yellowknife,62.456,-114.3525,41.56,52,75,17.0,CA,1682868778
74,mili,6.0815,171.735,82.15,79,56,19.6,MH,1682868780
75,kailua-kona,19.6406,-155.9956,73.22,84,0,6.91,US,1682868781
76,kismayo,-0.3582,42.5454,80.28,78,100,18.14,SO,1682868782
77,tolanaro,-25.0319,46.9987,77.07,83,20,11.5,MG,1682868783
78,silifke,36.3778,33.9344,64.33,59,11,7.65,TR,1682868784
79,otacilio costa,-27.4831,-50.1219,69.8,55,49,4.74,BR,1682868786
80,cuajinicuilapa,16.4667,-98.4167,89.65,42,50,3.27,MX,1682868787
81,bereket,39.2446,55.5154,89.2,12,55,8.46,TM,1682868788
82,chorfa,36.3651,4.3264,75.4,46,56,12.19,DZ,1682868789
83,baishishan,43.5833,127.5667,39.67,94,100,2.8,CN,1682868790
84,jalapa,19.5333,-96.9167,64.54,78,78,4.45,MX,1682868620
85,ilulissat,69.2167,-51.1,39.22,38,0,21.85,GL,1682868793
86,tofol,5.3248,163.0078,83.41,77,97,20.36,FM,1682868794
87,yeraliyev,43.2,51.65,77.52,27,100,1.68,KZ,1682868795
88,punta arenas,-53.15,-70.9167,39.31,70,0,16.11,CL,1682868796
89,ust-nera,64.5667,143.2,14.18,99,88,2.53,RU,1682868797
90,boa vista,2.8197,-60.6733,85.98,62,75,20.71,BR,1682868543
91,papatowai,-46.5619,169.4708,49.62,84,100,4.16,NZ,1682868800
92,nemuro,43.3236,145.575,43.45,85,30,19.42,JP,1682868801
93,winnipeg,49.8844,-97.147,46.47,59,20,19.57,CA,1682868802
94,naze,28.3667,129.4833,61.72,91,100,8.66,JP,1682868803
95,margaret river,-33.95,115.0667,58.87,85,71,7.56,AU,1682868804
96,yanam,16.7333,82.2167,81.63,71,89,4.07,IN,1682868805
97,esquel,-42.9,-71.3167,42.4,71,54,6.64,AR,1682868807
98,lebu,-37.6167,-73.65,54.3,74,9,6.87,CL,1682868808
99,kangding,30.0513,101.9603,46.38,99,100,3.18,CN,1682868809
100,karratha,-20.7377,116.8463,77.25,24,100,6.64,AU,1682868810
101,crieff,56.3727,-3.8389,56.14,94,100,3.53,GB,1682868811
102,tolbazy,54.0241,55.8825,63.86,57,74,5.23,RU,1682868812
103,happy valley-goose bay,53.3168,-60.3315,48.51,49,20,4.61,CA,1682868814
104,xacmaz,41.4635,48.806,58.86,94,85,6.51,AZ,1682868816
105,safi,32.1667,-8.8333,81.45,31,15,23.09,MA,1682868817
106,guaranda,-1.6,-79.0,63.45,76,89,7.31,EC,1682868818
107,avarua,-21.2078,-159.775,75.25,69,75,10.36,CK,1682868819
108,micheweni,-4.9667,39.8333,78.24,87,100,11.83,TZ,1682868820
109,fortuna,40.5982,-124.1573,51.66,96,100,1.99,US,1682868822
110,saudarkrokur,65.7461,-19.6394,34.43,56,13,12.82,IS,1682868823
111,tiksi,71.6872,128.8694,19.8,100,100,3.76,RU,1682868824
112,colares,38.7992,-9.4469,78.48,69,20,20.71,PT,1682868825
113,olonkinbyen,70.9221,-8.7187,32.45,95,100,18.14,SJ,1682868826
114,ghat,24.9647,10.1728,95.54,6,2,18.43,LY,1682868827
115,quiberon,47.4841,-3.1196,62.11,82,41,19.57,FR,1682868828
116,badger,64.8,-147.5333,37.31,91,100,5.75,US,1682868830
117,anadyr,64.75,177.4833,1.9,85,0,11.18,RU,1682868831
118,los frentones,-26.4077,-61.4137,92.75,39,1,15.52,AR,1682868832
119,polyarnyy,69.1989,33.4478,35.91,88,59,10.89,RU,1682868833
120,hamilton,39.1834,-84.5333,56.25,68,40,8.05,US,1682868678
121,trujillo,-8.116,-79.03,76.96,73,40,10.36,PE,1682868835
